vma,make,vmo,model,category
AMTC,American Transportation Corp.,,,Trailer
AMTC,American Transportation Corp.,,,Construction
AMTC,AmTran Corp.,,,Trucks
AMTC,Genesis,,,Trucks
AMTH,"Amthor Intl., Inc.",,,Trailer
AMTL,"Amera Trail, Inc.",,,Trailer
AMTN,"American Trencher, Inc.",,,Farm
AMTN,"American Trencher, Inc.",,,Construction
AMTR,American Tractor Equipment Corp.,,,Construction
AMTS,"American Travel Systems, Inc.",,,Trailer
AMUT,American Utility Trailers,,,Trailer
AMWS,"American Welding Service, Inc.",,,Trailer
AMYP,American Yard Products,,,Farm
AMYP,Poulan,,,Farm
AMYP,Weedeater,,,Farm
AMZT,"Amaze-N-Tow, Inc.",,,Trailer
ANAL,Ana-Log,,,Trailer
ANCH,Ahoy,,,Trailer
ANCH,"Anchor Homes, Inc.",,,Trailer
ANDE,"Ander-Ett, Inc.",,,Trailer
ANDH,Anderson Coach Co.,,,Trailer
ANDI,Anderson Mobile Homes Mfg. Co.,,,Trailer
ANDM,Andrea Mobile Homes,,,Trailer
ANDR,Andrews Payloader,,,Trailer
ANDS,Anderson Manufacturing,,,Trailer
ANGE,Angelus Trailer Mfg. Co.,,,Trailer
ANGL,Angel,,,Motorcycle
ANMO,All Nations Moped (for reference only),,,
ANMO,"Intermotor (mfd. by All Nations Moped, for reference only)",,,
ANSR,"Anser Ind., Inc.",,,Trailer
ANTH,Anthony Co.,,,Trailer
ANTO,Anton Mfg. Co.,,,Trailer
AOFI,"Apiaries & Orchard Forklift, Inc.",,,Construction
AOKT,A-OK Trailers,,,Trailer
AONE,A-1 Trailer,,,Trailer
AP--,Civil Air Patrol (see Section 2.1),,,
APAC,Apache Coach Co.,,,Trailer
APAE,Apache Trailer Corp.,,,Trailer
APAH,Apacheon Coach Co.,,,Trailer
APEC,Apeco Mobile Homes,,,Trailer
APEX,"Apex Travelers, Inc.",,,Trailer
APIN,"Alpine Industrial, LLC",,,Trailer
APLE,Appleton Trailer,,,Trailer
APLO,Apollo Choppers II,,,Motorcycle
APOL,Apollo Homes,,,Trucks
APOL,Apollo Homes,,,Trailer
APPA,"Appalachian Mfg., Inc.",,,Trailer
APPL,Appleby Camper Trailer,,,Trailer
APPT,Apple Trailers,,,Trailer
APRI,Aprilia Motorcycles,,,Motorcycle
APSP,"Apollo Sporting Products Co., Ltd. Or Zhejiang Apollo Sporting Products Co., Ltd.",,,Motorcycle
APVC,Apple Valley Cargo,,,Trailer
AQCR,"Aqua Cruiser, Inc.",,,Trailer
AQUA,Aquaforge,,,Trailer
AQUT,Aqualand Trailers,,,Trailer
ARAB,"Arabi Homes, Inc.",,,Trailer
ARAB,Arabian,,,Trailer
ARBO,Arboc Specialty Vehicles,,,Trucks
ARCA,Arctic Cat,,,Trailer
ARCA,Arctic Cat,,,Motorcycle
ARCC, Arctic Cat,,,Snowmobile
ARCC,"Arctco, Inc.",,,Snowmobile
