vma,make,vmo,model,category
SECI,Star Electric Cars,,,Auto
SECO,Seco Mfg. Co.,,,Trailer
SECU,Security Inds.,,,Trailer
SECY,Servicycle,,,Motorcycle
SEEM,Seemore Flatbed Trailer,,,Trailer
SEID,Seiden Mobile Homes,,,Trailer
SELB,Selburn Flatbed Trailer,,,Trailer
SELM,Selma Trailer & Mfg. Co.,,,Trailer
SELO,"Selox Mfg., Ltd.",,,Trailer
SELR,Sellers Trailer,,,Trailer
SELY,Selby Mfg. Co.,,,Trailer
SEMA,Specialty Equip. Market Assoc.,,,Trailer
SEMC,Semlac Corp.,,,Trailer
SEMN,Seminole Boat Trailer,,,Trailer
SEMO,Semo Tank/Baker Equip. Co.,,,Trucks
SENO,Senora Trailers,,,Trailer
SEOV,Searover TC Camper,,,Trailer
SERA,Sera,,,Auto
SERR,Scotty Sportsman,,,Trailer
SERR,Serro Travel Trailer Co.,,,Trailer
SERS,"Sears, Roebuck & Co. (for reference only; see SEAR)",,,
SETR,"Setra of North America, Inc.",,,Trucks
SETR,Setra,,,Trucks
SEVC,Sunn Electric Vehicle Company,,,Auto
SEWP,"Jenkins Equipment Co., Inc., Subsidiary of Sweepster, Inc.",,,Construction
SEWR,Sewer Equipment Co. of America,,,Trailer
SEXT,Sexton Motorcycle Co.,,,Motorcycle
SFET,Safet Camper,,,Trucks
SFM,SFM,,,Motorcycle
SFWL,Southern Field Welding,,,Trailer
SGAC,South GA Cargo,,,Trailer
SGNA,"Signa Tour Campers, LLC",,,Trailer
SGNL,Signal Truck Motor Co.,,,Trucks
SHAC,Shamrock Campers,,,Trailer
SHAM,Galway,,,Trailer
SHAM,Shamrock Homes,,,Trailer
SHAN,"Shanghai Jialing Vehicle Business Co., Ltd.",,,Motorcycle
SHAR,Sharratt Mobile Homes & Supplies,,,Trailer
SHAS,Shasta Inds.,,,Trailer
SHAS,Shasta Motor Home,,,Trucks
SHAU,"Snowhauler Trucks, Inc.",,,Trucks
SHAV,Shaver Mfg. Co.,,,Farm
SHAW,Shaw-Wynn Homes Corp.,,,Trailer
SHBA,Sherwood Baronet Tent Trailer,,,Trailer
SHDO,Shadow Trailers,,,Trailer
SHDW,"Shadow Trailers, Inc.",,,Trailer
SHEB,Shelby American,,,Auto
SHEB,Shelby American,CSX,CSX,Auto
SHEB,Shelby American,G35,Cobra GT350,Auto
SHEB,Shelby American,G50,Cobra GT500,Auto
SHEB,Shelby American,ROD,Roadster,Auto
SHEL,Shelby Mobile Homes,,,Trailer
SHEM,Puller-Tensioner,,,Trailer
SHEM,"Sherman & Reilly, Inc.",,,Trailer
SHEN,"Shenke Motorcycle Co., Ltd. or Shanghai Shenke Motorcycle Co., Ltd.",,,Motorcycle
SHER,Shertzer Dump Trailer,,,Trailer
SHET,"Shetron Mfg., LLC",,,Trailer
SHGO,"Short Go, Inc.",,,Trailer
SHIB,Shipbuilt Van Trailer,,,Trailer
SHIL,Shiloh Homes,,,Trailer
SHIM,Shipmate,,,Trailer
SHIN,"Chongqing Shineray Motorcycle Co., Ltd. or Shineray Motorcycle Co., Ltd.",,,Motorcycle
SHIN,"Shineray Motorcycle Co., Ltd. or Chongqing Shineray Motorcycle Co., Ltd.",,,Motorcycle
SHIP,Shippette Mobile Homes,,,Trailer
SHIV,"Shivvers, Inc.",,,Trailer
SHIW,"Shiwei Vehicle Co., Ltd. or Jinhua Shiwei Vehicle Co., Ltd.",,,Motorcycle
SHJZ,Shijiazhuang Mfg. Corp.,,,Motorcycle
SHL,SHL,,,Motorcycle
SHLF,"Shelf Above Mfg., Inc.",,,Trailer
SHNG,"Shandong Pioneer Motorcycle Co., Ltd.",,,Motorcycle
SHOA,"Shoals American Ind., Inc.",,,Trailer
SHOM,Sho-Me Campers Co.,,,Trailer
SHOO,Shoops Horse Trailer,,,Trailer
SHOP,Shopmade Flatbed Trailer,,,Trailer
SHOR,Shoreline Trailer (for reference only; see YARB),,,
SHOV,"Shovel Supply Co., Inc.",,,Construction
SHOW,Showco Nomad Trailer,,,Trailer
SHQI,"Shengqi Motion Apparatus Co., Ltd. or Zhenjiang Shengqi Motion Apparatus Co., Ltd.",,,Motorcycle
SHQI,"Zhenjiang Shengqi Motion Apparatus Co., Ltd. or Shengqi Motion Apparatus Co., Ltd.",,,Motorcycle
SHRA,Joslin Corp. or Sahara,,,Motorcycle
SHRA,Sahara or Joslin Corp.,,,Motorcycle
SHRC,Sherco,,,Motorcycle
SHSY,Sherwood Sentry Horse Trailer,,,Trailer
SHTE,"Shortstop Enterprises, Inc.",,,Trailer
SHTR,"S & H Trailer Mfg. Co., Inc.",,,Trailer
SHTW,"Showtown Mfg. Co., Inc.",,,Trailer
SHUT,Schutt Industries,,,Trailer
SHWG,"Schwing America, Inc.",,,Trailer
SHWG,"Schwing America, Inc.",,,Construction
SHWI,Schwinn Motor Scooters,,,Motorcycle
SHWM,"Show-me Trailers, Inc.",,,Trailer
SHWT,Showtime Manufacturing,,,Motorcycle
SIAT,Siata,,,Auto
SICC,S.I.C. Choppers (Style in Custom Choppers),,,Motorcycle
SICK,"Sickasso Cycle Creations, Inc.",,,Motorcycle
SIDI,Side Dump Ind.,,,Trailer
SIDK,"Sidekick RV, Inc.",,,Trailer
SIEA,Silver Eagle Travel Trailer,,,Trailer
SIEB,"Siebert Trailers, Inc.",,,Trailer
SIEM,Siems Enterprises,,,Trailer
SIER,Sierra Campers Mfg.,,,Trailer
SIES,Siesta (for reference only; see PARH),,,
SIGA,Sigame Corp.,,,Trailer
SIGN,Lear Siegler,,,Trailer
SIGN,Signal Div.,,,Trailer
SIKK,"Sikk, Inc.",,,Motorcycle
SILA,Sila Autoretta,,,Auto
SILC,Dorsett Mobile Homes,,,Trailer
SILC,"Silvercrest Inds., Inc.",,,Trailer
SILE,Silver Leaf Mfg. Co.,,,Trailer
SILL,Silverline,,,Trailer
SILP,Silver Pigeon,,,Motorcycle
SILT,Silent Hoist & Crane Co.,,,Construction
SILV,Silver Streak Trailer Co.,,,Trucks
SILV,Silver Streak Trailer Co.,,,Trailer
SILW,Silver Crown,,,Trucks
SIM,Simca,,,Auto
SIM,Simca,100,1000 & 1000GL,Auto
SIM,Simca,120,120,Auto
SIM,Simca,ARO,Aronde,Auto
SIM,Simca,BER,Bertone,Auto
SIM,Simca,ETO,Etoile,Auto
SIM,Simca,GLS,GLS,Auto
SIM,Simca,VED,Vedette,Auto
SIMA,Simon Access,,,Trucks
SIMC,Sierra Motor Corp.,,,Trailer
SIME,"Simek Mfg., Inc.",,,Trailer
SIMM,Ron Simms Bay Area Custom Cycles,,,Motorcycle
SIMN,Simenson Mfg. Co.,,,Trailer
SIMO,Simon Utility Trailer,,,Trailer
SIMP,Landlord,,,Farm
SIMP,"Simplicity Mfg. Co., Inc.",,,Farm
SIMS,Simson,,,Motorcycle
SIMT,"Simpson Enterprises, Inc.",,,Trailer
SIMW,Simpson Welding & Custom Trailers,,,Trailer
SIN,Singer,CHA,Chamois,Auto
SIN,Singer,VOG,Vogue,Auto
SING,Single Tilt Trailer,,,Trailer
SIRC,Sun International Racing,,,Auto
SIST,Silver Star Trailer,,,Trailer
SISU,"Sisu USA, Inc.",,,Trailer
SITE,Sightseer Motor Home,,,Trucks
SIXP,Six Pac Camper,,,Trailer
SJCI,"SJC Ind., Corp.",,,Trucks
SJEP,S & J Enterprises,,,Trailer
SKAM,Skamper Corp.,,,Trailer
SKIK,Ski Kart,,,Trailer
SKIM,Skim Air Trailer,,,Trailer
SKIP,"Skipper B Trailer Co., Inc. (formerly Brown Ind.)",,,Trailer
SKIR,Ariens,,,Snowmobile
SKIR,Ariens Arrow,,,Snowmobile
SKIR,Coleman,,,Snowmobile
SKIR,Skiroule,,,Snowmobile
SKIR,"Skiroule, Ltd.",,,Snowmobile
SKIR,The Coleman Co.,,,Snowmobile
SKIT,"Ski-Tow Mfg. Co., Inc.",,,Trailer
SKMD,Academy Mobile Homes,,,Trucks
SKMD,Jamee Motor Home,,,Trucks
SKMD,Skyline Motorized Div.,,,Trucks
SKOD,Skoda,,,Auto
SKOD,Skoda,FAB,Fabia,Auto
SKOD,Skoda,OCT,Octavia,Auto
SKPF,Schwartzkopf Exclusive Customs,,,Motorcycle
SKPP,Skippy Trailer,,,Trailer
SKTM,"Skyteam Corp., Ltd.",,,Motorcycle
SKYC,Skycraft Trailer,,,Trailer
SKYG,"Chongqing Xgjao Motorcycle Co., Ltd. or",,,Motorcycle
SKYG,"Sky-Go Motorcycle Manufacturer or Chongqing Xgjao Motorcycle Co., Ltd.",,,Motorcycle
SKYH,"Skyhomes, Inc.",,,Trailer
SKYI,"Skylark Inds., Inc.",,,Trailer
SKYJ,Skyjack,,,Construction
SKYL,Aly,,,Trailer
SKYL,Arlington Mobile Homes,,,Trailer
SKYL,Cameron Mobile Homes,,,Trailer
SKYL,Crestwood Homes,,,Trailer
SKYL,Custom Villa,,,Trailer
SKYL,Fifth Avenue,,,Trailer
SKYL,Freedom Mobile Homes,,,Trailer
SKYL,"Golden Falcon Homes, Inc.",,,Trailer
SKYL,Greenbriar,,,Trailer
SKYL,Key Largo,,,Trailer
SKYL,Layton,,,Trailer
SKYL,Nomad,,,Trailer
SKYL,Skyline Corp.,,,Trailer
SKYT,Skytrak,,,Construction
SLAK,Slack’s Trailers,,,Trailer
SLEE,"Saleen, Inc.",,,Auto
SLEL,Solo Electra,,,Motorcycle
SLGT,Stephan L. Green Trailers,,,Trailer
SLMS,Sealmaster,,,Trailer
SLOA,Sloat Mfg. Co.,,,Trailer
SLON,"Sloan's Easy Load, Inc.",,,Trailer
SLPE,Sleep Easy Trailer,,,Trailer
SLVD,"Silverado Trailers, Inc.",,,Trailer
SMAL,Smalley Mfg. Co.,,,Farm
SMAR,Smartlee,,,Trailer
SMBT,"SMB Teleiamotre (Bologna, Italy)",,,Motorcycle
SMBT,"Yankee Peddler (see SMB Teleiamotre; imported by Manumark, Inc., Atlanta, GA)",,,Motorcycle
SMEA,Smeal,,,Trucks
SMEV,Smith Electric Vehicles or SEV,,,Trucks
SMIH,"L. B. Smith, Inc.",,,Trailer
SMIH,Smithco,,,Trailer
SMIH,Smithco,,,Farm
SMIL,Smily,,,Motorcycle
SMIR,"Smith-Roles, Ltd.",,,Trailer
SMIT,"Smith, T. L., Co.",,,Construction
SMIT,T. L. Smith Co.,,,Construction
SMLX,Simplex,,,Motorcycle
SMMO,S M Moon,,,Motorcycle
SMOK,Smokey Trailer,,,Trailer
SMPI,Sam Patton Industries,,,Trailer
SMPX,Simplex Inds.,,,Trailer
SMRT,SMART,,,Auto
SMRT,Smart,FTW,Fortwo,Auto
SMRT,Smart,PAS,Passion,Auto
SMRT,Smart,PUR,Pure,Auto
SMTC,S & M Trailer Co.,,,Trailer
SMTI,"Smart Trailers, Inc.",,,Trailer
SMTS,Southern Missouri Trailer Sales,,,Trailer
SMWD,Smallwood,,,Trailer
SMWI,"SMW, Inc.",,,Motorcycle
SMYD,Southmayd Equipment Corp.,,,Trailer
SNAK,Snake River Trailers,,,Trailer
SNAP,Snapper,,,Trucks
SNAP,Snapper,,,Farm
SNAR,Snark (for reference only; see BIAN),,,
SNAT,Snatcher Trailer Co.,,,Trailer
SNBO,Sunbird Boat Co.,,,Trailer
SNBR,"SunBird, Inc.",,,Trailer
SNBT,"Sun Belt Energy Housing, Inc.",,,Trailer
SNCT,Sun Country Trailers,,,Trailer
SNDI,"Sandi Motorcycle Co., Ltd. or Taixing Sandi Motorcycle Co., Ltd.",,,Motorcycle
SNDI,"Taixing Sandi Motorcycle Co., Ltd. or Sandi Motorcycle Co., Ltd.",,,Motorcycle
SNDP,Sandpiper Trailers,,,Trailer
SNDR,Hainan Sundiro Motorcycle Co.,,,Motorcycle
SNFL,Sunflower Travel Trailer,,,Trailer
SNHU,"Jiangsu Sunhou S & T Motorcycle Co., Ltd. or Sunhou S & T Motorcycle Co., Ltd.",,,Motorcycle
SNHU,"Sunhou S & T Motorcycle Co., Ltd. or Jiangsu Sunhou S & T Motorcycle Co., Ltd.",,,Motorcycle
SNLG,"Sun L Group, Inc.",,,Motorcycle
SNLT,"Sun-Lite, Inc.",,,Trailer
SNOB,Sea Bird,,,Trailer
SNOB,"Sno-Bird Trailer Co., Inc.",,,Trailer
SNOC,Snow Tri Scat,,,Motorcycle
SNOE,Snowflake Coach Ind.,,,Trailer
SNOJ,Sabre Jet,,,Snowmobile
SNOJ,"Sno*Jet, Inc.",,,Snowmobile
SNOK,"Sno Shack, Inc.",,,Trailer
SNOP,"Snopro, Inc.",,,Trailer
SNOW,Snowmobile (for use when make is not listed),,,Snowmobile
SNOW,Unlisted snowmobile make,,,Snowmobile
SNPY,Sno-Pony,,,Snowmobile
SNRG,"Southern Energy Homes, Inc.",,,Trailer
SNRZ,"Remington Homes (Div. of Sunrizon Homes, Inc.)",,,Trailer
SNSA,Sensation,,,Motorcycle
SNSK,"Sinski Sonik Motor Technology Co., Ltd. or Jiangsu Sinski Sonik Motor Technology Co., Ltd.",,,Motorcycle
SNTA,Santa Fe Trailer Co.,,,Trailer
SNTE,Santee Industries,,,Motorcycle
SNTR,Sun Trailer & Utilities,,,Trailer
SNTT,Snowton Trailer,,,Trailer
SNUB,Snub Harbor Trailers,,,Trailer
SNWB,"Snowbear, Ltd.",,,Trailer
SNWC,SNOW Co.,,,Farm
SNWC,"Snow Co., The",,,Trailer
SNYD,Snyder Trailer Co.,,,Trailer
SOCI,Society Coach Builders,,,Trailer
SOCO,"Southco Ind., Inc.",,,Trucks
SOCO,"Southco Ind., Inc.",,,Trailer
SOCT,"Southern Classic Trailer Mfg., Inc.",,,Trailer
SODE,Soderstrom Machine Shop,,,Trailer
SOIL,Soil Mover Mfg. Div.,,,Construction
SOIL,"Soil Mover Mfg. Div., Automatic Equipment Mfg. Co.",,,Farm
SOL,Sol Cat Boat Trailer,,,Trailer
SOLE,Solectria,,,Auto
SOLE,Solectria,CTV,Citi Van,Auto
SOLE,Solectria,FLS,Flash,Auto
SOLE,Solectria,FOR,Force,Auto
SOLE,Solectria,SUN,Sunrise,Auto
SOLO,"Solo Motors, Inc.",,,Motorcycle
SOLS,"Southern Lifestyle Homes, Inc.",,,Trailer
SOLT,"Solar Technology, Inc.",,,Trailer
SOLX,Solex (for reference only; see MTBE),,,
SOND,Son-Dyke Trailer Co.,,,Trailer
SONI,Soni II,,,Motorcycle
SOON,Sooner Mfg.,,,Trucks
SOON,Sooner Mfg.,,,Trailer
SOPK,"Sopko Mfg., Inc.",,,Trailer
SOPR,"Southern Pride Dist., LLC",,,Trailer
SOSL,"Southern Sales, Inc.",,,Trailer
SOTH,South Bay Trailers,,,Trailer
SOTT,Scotty Travel Trailer (for reference only),,,
SOTW,Southwest Welding & Mfg. Co.,,,Construction
SOUA,"Southeast Mfg. Co., Inc.",,,Farm
SOUC,"Soucy Laliberte, Inc.",,,Trailer
SOUD,"Soudure Kerr, Inc.",,,Trailer
SOUE,Southeastern,,,Trailer
SOUF,"South Florida Choppers, Inc.",,,Motorcycle
SOUH,Southern Trailers,,,Trailer
SOUT,Southlane Horse Trailer,,,Trailer
SOUW,Southwest Truck Body Co.,,,Trailer
SOVA,Sovam,,,Auto
SOWI,Southwind Motor Home,,,Trucks
SPAA,Space Motor Home,,,Trucks
SPAC,Space Age Campers,,,Trailer
SPAE,Space-Craft Trailers Mfg.,,,Trailer
SPAH,Sparrowhawk Trailer Co.,,,Trailer
SPAM,Spacemaster,,,Trucks
SPAN,Spano Crane Sales & Service Corp.,,,Construction
SPAR,Sparta,,,Motorcycle
SPAT,Spartan Aircraft Co.,,,Trailer
SPAU,"Spaulding Mfg., Inc.",,,Construction
SPAU,"Spaulding Mfg., Inc.",,,Trailer
SPBD,Speed Bird,,,Motorcycle
SPBW,"B&B Welding, Inc. (DBA-Spencer Bowman Customs)",,,Motorcycle
SPBW,"Spencer Bowman Customs; also see B&B Welding, Inc.",,,Motorcycle
SPCC,"Springers Custom Cycles, LLC",,,Motorcycle
SPCE,"Space Assemblies, Inc.",,,Trailer
SPCO,"Spee Co, Inc. or Spee Co.",,,Trailer
SPCT,"Spector Mfg., Inc.",,,Trailer
SPCY,Springcycle,,,Motorcycle
SPEA,Marvin A. Spears Co.,,,Trailer
SPEA,"Spears, Marvin A., Co.",,,Trailer
SPEC,"Special (dunebuggy, go-cart, golf cart, motorized wheelchair, or motorized ride-on toy; see NCIC 2000 Operating Manual, Vehicle File chapter)",,,Motorcycle
SPED,Speed,,,Motorcycle
SPEE,Speedway Trailer Div.,,,Trailer
SPEG,Spirit Eagle,,,Motorcycle
SPEI,"Speicher Brothers, Inc.",,,Construction
SPEK,"Speed King Mfg. Co., Inc.",,,Farm
SPEL,"Special Endeavors, Inc.",,,Trailer
SPEM,Specialty Mfg. Co.,,,Trailer
SPEN,Spen & Co.,,,Trailer
SPEP,Spencer Sports Products,,,Trailer
SPET,Speedex Tractor Co.,,,Farm
SPHA,"Sport Hauler, Inc. or Sports Haulers",,,Trailer
SPHL,"Sport Hauler Trucks, LLC",,,Trucks
SPHL,"Sport Hauler Trucks, LLC",,,Trailer
SPIE,Spiesschaert Enterprises,,,Trailer
SPIR,"Spirit Cars, LLC (NEV-Neighborhood Electric Vehicle)",,,Auto
SPLT,Sportsliner Tent Trailer,,,Trailer
SPLZ,Specialized Trailers,,,Trailer
SPMC,Speedster Motorcars,,,Auto
SPMN,Sportsman,,,Trailer
SPNR,Sprinter,,,Auto
SPNT,Sprinter,,,Motorcycle
SPOC,Sportcoach Corp. of America,,,Trailer
SPOK,Spokane Travel Homes,,,Trailer
SPOM,Shalimar Mobile Homes,,,Trailer
SPOM,"Sportcraft Homes, Inc.",,,Trailer
SPOM,Toronado,,,Trailer
SPON,Sport King Campers,,,Trailer
SPOR,Sportsman,,,Motorcycle
SPOS,Sportsman's Dream Mfg. Co.,,,Trailer
SPPI,"Speedway Products, Inc.",,,Snowmobile
SPPR,Spartan Products,,,Trailer
SPRA,Sprayline Two Wheel Trailer,,,Trailer
SPRD,Sperry Rand,,,Motorcycle
SPRE,Sprite,,,Motorcycle
SPRG,"Sportsrig.com, LLC",,,Trailer
SPRI, Sprite,,,Trailer
SPRK,"Spurlock Vehicles, Inc.",,,
SPRK,"Spurlock Vehicles, Inc.",,,Trucks
SPRK,"Spurlock Vehicles, Inc.",,,
SPRM,"Sportmasters of Tennessee, Inc.",,,Trailer
SPRN,Springtrail Mfg. Co.,,,Trailer
SPRO,"Sprout, Waldron & Co., Inc.",,,Trailer
SPRR,Superior Office Trailer,,,Trailer
SPRS,Hoosier,,,Trailer
SPRS,"Spreuer & Son, Inc.",,,Trailer
SPRT,Sportcoach Motor Home,,,Trucks
SPRY,Sprayrite Mfg. Co.,,,Farm
SPSI,Spectrum Sports International,,,Trailer
SPTC,"Spectre Mfg., Inc.",,,Trailer
SPTI,"Sport Boat Trailers, Inc.",,,Trailer
SPTL,Sportsliner Camping Trailer,,,Trailer
SPTM,Spectrum Steel Co.,,,Trailer
SPTN,"Spartan Motors, Inc.",,,Trucks
SPTR,"Superior Trailers of GA, Inc.",,,Trailer
SPTX,"Sportsmobile Texas, Inc.",,,Auto
SPWY,Speedway,,,Motorcycle
SPYD,Spyder,,,Construction
SPYK,Spyker Motorcars,,,Auto
SPYK,Spyker Motorcars,C8,C8 Spyder,Auto
SPYK,Spyker Motorcars,C8,C8 Laviolette,Auto
SQUI,Squire Travel Trailer,,,Trailer
SRCO,Sears,,,Snowmobile
SRCO,"Sears, Roebuck & Co.",,,
SRFX,"Sreco-Flexible, Inc.",,,Trailer
SRRA,Sierra Motorcycle Co.,,,Motorcycle
SRTL,SR Trailers,,,Trailer
SSDL,S & S Dura-Line,,,Trailer
SSII,"Shredding Systems, Inc.",,,Trailer
SSTK,"SS Trike, LLC",,,Motorcycle
SSTL,BP,,,Trailer
SSTL,GN Custom,,,Trailer
SSTL,SS Trailer Co.,,,Trailer
STAA,"Star Machine Shop Co., Ltd.",,,Trailer
STAC,"Stack Truck, Inc.",,,Trailer
STAD,Standard Steel,,,Trailer
STAF,Stam Mfg. Co.,,,Trailer
STAG,Stage Coach Mfg. Co.,,,Trailer
STAH,Stahl A Scott Fetzer Co.,,,Trailer
STAL,Grenadier Mobile Homes,,,Trailer
STAL,Statler Homes Mfg.,,,Trailer
STAM,Starmaster Camping Trailer,,,Trailer
STAN,Standard,,,Trailer
STAN,Standard,,,Auto
STAO,Starcraft Corp.,,,Trucks
STAP,Star Tank & Trailer Mfg. Co.,,,Trailer
STAR,Star,,,Auto
STAS,"Star Fire, Inc.",,,Trailer
STAT,Startrek,,,Trucks
STAU,"K. Stauffer Mfg., LLC or Kodiak Stauffer Mfg., LLC",,,Trailer
STAV,Starlite Mfg. Co.,,,Trailer
STAW,Star Meteor Florida,,,Trailer
STAX,Star Mobile Homes,,,Trailer
STBO,"Stratos Boats, Inc.",,,Trailer
STCB,"Starcraft Bus (Div. of Forest River, Inc.)",,,Truck
STCC,Stucco Trailer,,,Trailer
STCH,"Strictly Chopper, LLC",,,Motorcycle
STCL,"Stone Canyon Lodges, Inc.",,,Trailer
STCO,Starcraft Corp.,,,Snowmobile
STCR,Steelcraft Log Trailer,,,Trailer
STDP,Steyr-Daimler-Puch,,,Trucks
STDV,Stevens - Duryea,,,Auto
STDY,Stanton Dynamics,,,Trailer
STEA,"Steadman Containers, Ltd.",,,Trailer
STEC,Steco Trailer Co.,,,Trailer
STEE,Steed-Pollak Mfg. Co.,,,Trailer
STEF,"ST & E Fabrication, LLC",,,Trailer
STEG,"Stew-Gar, Inc.",,,Trailer
STEI,"Stainless Tank & Equip., Inc.",,,Trailer
STEL,"Stealth Enterprises, LLC",,,Trailer
STEM,Sterling,,,Trailer
STEO,"Steelco, Inc.",,,Trailer
STEP,Stepper Trailer,,,Trailer
STER,Sterling Industrial Corp.,,,Construction
STES,Steel Stallion Motorcycle Co.,,,Motorcycle
STET,"Stewart, Inc.",,,Trailer
STEU,Steury Trailer,,,Trailer
STEW,Stewart Engineering & Equipment Co.,,,Construction
STEY,Steyr-Puch,,,Auto
STGR,Steiger Tractor,,,Farm
STHH,"Southern Heritage Trailers, LLC",,,Trailer
STHL,Stohl Trailers,,,Trailer
STHS,"Steelhorse Custom Motorcycles, Inc.",,,Motorcycle
STID,Stidham Horse Trailer,,,Trailer
STIG,"Stigers Trailer Sales, Inc.",,,Trailer
STIL,Stillwater Supply Co.,,,Trailer
STLC,Stelco Fabrications Co.,,,Trailer
STLD,"Streamline Designs, Inc.",,,Motorcycle
STLG,Sterling,,,Auto
STLG,Sterling,825,825,Auto
STLG,Sterling,827,827,Auto
STLM,"Stealth Manufacturing, LLC (low speed electric vehicles)",,,Auto
STLN,Sterline Flatbed Trailer,,,Trailer
STLO,Stilo Trailer,,,Trailer
STLY,Stanley,,,Farm
STMC,"Supertrail Mfg. Co., Inc.",,,Trailer
STMF,Storm Mfg.,,,Trailer
STMG,Star Mfg.,,,Trailer
STMI,"Streme Trailer Mfg., Inc.",,,Trailer
STMP,"Stampings, Inc.",,,Construction
STNH,Stanley Hydraulic Tools,,,Construction
STOC,Stockland,,,Trailer
STOD,Stoddard Mfg. Co.,,,Trailer
STOE,"Stone Construction Equipment, Inc.",,,Construction
STOL,"Stoll Trailers, Inc.",,,Trailer
STON,Stoner Trail,,,Trailer
STOP,Stopover Traveler & Camper Co.,,,Trailer
STOT,Stoner Totter Trailer,,,Trailer
STOU,"Stoughton Trailers, Inc.",,,Trailer
STOW,Econoroll,,,Construction
STOW,Stow Mfg. Co.,,,Construction
STOW,Western (Stow Western),,,Construction
STPH,"Stephens Pneumatics, Inc.",,,Trailer
STPK,"Stewart Park Homes, Inc.",,,Trailer
STRA,Strale,,,Auto
STRB,Starbuck Trailer,,,Trailer
STRC,Strahan Mfg. Co.,,,Trailer
STRD,Stardust Travel Trailer,,,Trailer
STRE,Streamline Trailer Co.,,,Trailer
STRG,Sterling,,,Trucks
STRH,Strohl Corp.,,,Trailer
STRI,Strick Trailers Corp.,,,Trailer
STRK,Star Trail,,,Trailer
STRK,Stark Brothers Motor Sales,,,Trailer
STRL,Starline Trailer Mfg. Co.,,,Trailer
STRM,Streamline Motor Home,,,Trucks
STRN,Saturn,,,Auto
STRN,Saturn,,,Auto
STRN,Saturn,100,L100,Auto
STRN,Saturn,200,L200,Auto
STRN,Saturn,300,L300,Auto
STRN,Saturn,AST,Astra,Auto
STRN,Saturn,AUR,"Aura, XE, XR",Auto
STRN,Saturn,ION,Ion,Auto
STRN,Saturn,LS,LS-Sedan,Auto
STRN,Saturn,LW,LW-Wagon,Auto
STRN,Saturn,OUT,Outlook,Auto
STRN,Saturn,RLY,Relay,Auto
STRN,Saturn,SC,SC,Auto
STRN,Saturn,SKY,Sky,Auto
STRN,Saturn,SL,SL,Auto
STRN,Saturn,SW,SW,Auto
STRN,Saturn,VUE,Vue,Auto
STRP,Streamline Precision,,,Trailer
STRR,Starcrest Motor Home,,,Trucks
STST,Stewart & Stevenson,,,Trucks
STST,Stewart & Stevenson,,,Construction
STTL,Statler Mobile Home Trailer (for reference only; see GUER),,,
STTR,Star Trans,,,Trucks
STTT,"Star Transport Trailers, Inc.",,,Trailer
STU,Studebaker,,,Auto
STU,"Studebaker-Worthington, Inc.",,,Trucks
STU,Studebaker,AVA,Avanti,Auto
STU,Studebaker,BRM,Broadmoor,Auto
STU,Studebaker,CHA,Challenger,Auto
STU,Studebaker,CHM,Champion,Auto
STU,Studebaker,COM,Commander,Auto
STU,Studebaker,CRU,Cruiser,Auto
STU,Studebaker,DAY,Daytona,Auto
STU,Studebaker,GRA,Grand Turismo,Auto
STU,Studebaker,HAW,Hawk Series,Auto
STU,Studebaker,LAN,Landall,Auto
STU,Studebaker,LAR,Lark Series,Auto
STU,Studebaker,PRE,President,Auto
STU,Studebaker,RGL,Regal,Auto
STU,Studebaker,SCO,Scotsman,Auto
STU,Studebaker,WAG,Wagonaire,Auto
STUA,Stuart,,,Trailer
STUZ,Stutz,,,Auto
STWF,Stone Well Forge,,,Trailer
STWI,"Stowell Industries, Inc.",,,Trailer
STWL,Steairs Welding,,,Trailer
SUBA,Subaru,,,Trucks
SUBA,Subaru,,,Auto
SUBA,Subaru,,,Auto
SUBA,Subaru,100,100 Series,Auto
SUBA,Subaru,110,1100 Series,Auto
SUBA,Subaru,130,1300 Series,Auto
SUBA,Subaru,140,1400 Series,Auto
SUBA,Subaru,160,1600 Series,Auto
SUBA,Subaru,360,360 (various styles),Auto
SUBA,Subaru,BJA,Baja,Auto
SUBA,Subaru,BRT,Brat,Auto
SUBA,Subaru,BRZ,BRZ,Auto
SUBA,Subaru,DL,DL,Auto
SUBA,Subaru,FE2,Fe,Auto
SUBA,Subaru,FOR,Forrester,Auto
SUBA,Subaru,GL,GL,Auto
SUBA,Subaru,GLF,GLF,Auto
SUBA,Subaru,IMP,Outback Impreza,Auto
SUBA,Subaru,IMP,Impreza,Auto
SUBA,Subaru,JUS,Justy,Auto
SUBA,Subaru,LEG,Outback Legacy,Auto
SUBA,Subaru,LEG,Legacy,Auto
SUBA,Subaru,LEO,Leone GL Coupe,Auto
SUBA,Subaru,LOY,Loyale,Auto
SUBA,Subaru,OUT,Outback,Auto
SUBA,Subaru,RX,RX,Auto
SUBA,Subaru,SPT,Outback Sport (station wagon),Auto
SUBA,Subaru,STA,Standard,Auto
SUBA,Subaru,SVX,SVX,Auto
SUBA,Subaru,TRB,B9 Tribeca,Auto
SUBA,Subaru,XT6,XT6,Auto
SUBA,Subaru,XTC,XT Coupe,Auto
SUBA,Subaru,CTK,XV Crosstrek,Auto
SUBK,"Sunny Brook RV, Inc.",,,Trailer
SUBL,Sun Blazer Travel Trailer,,,Trailer
SUBT,"Suburban Motors, Inc.",,,Trailer
